DATE,DEXINUS
2018-12-24,.
2018-12-25,.
2018-12-26,70.07
2018-12-27,70.34
2018-12-28,69.92
2018-12-31,69.58
2019-01-01,.
2019-01-02,70.02
2019-01-03,70.12
2019-01-04,69.63
2019-01-07,69.78
2019-01-08,70.11
2019-01-09,70.42
2019-01-10,70.43
2019-01-11,70.38
2019-01-14,.
2019-01-15,71.0
2019-01-16,70.97
2019-01-17,71.09
2019-01-18,71.21
2019-01-21,.
2019-01-22,71.23
2019-01-23,71.21
2019-01-24,71.02
2019-01-25,70.94
2019-01-28,71.06
2019-01-29,71.4
2019-01-30,71.24
2019-01-31,70.94
2019-02-01,71.41
2019-02-04,71.66
2019-02-05,71.52
2019-02-06,71.55
2019-02-07,71.3
2019-02-08,71.23
2019-02-11,71.15
2019-02-12,70.56
2019-02-13,70.86
2019-02-14,71.18
2019-02-15,71.36
2019-02-18,.
2019-02-19,71.31
2019-02-20,.
2019-02-21,71.15
2019-02-22,71.07
2019-02-25,70.82
2019-02-26,71.02
2019-02-27,71.15
2019-02-28,70.83
2019-03-01,70.9
2019-03-04,70.91
2019-03-05,70.55
2019-03-06,70.02
2019-03-07,70.09
2019-03-08,70.0
2019-03-11,69.82
2019-03-12,69.62
2019-03-13,69.52
2019-03-14,69.33
2019-03-15,68.94
2019-03-18,68.6
2019-03-19,69.02
2019-03-20,68.85
2019-03-21,68.72
2019-03-22,69.01
2019-03-25,68.88
2019-03-26,68.98
2019-03-27,69.13
2019-03-28,69.23
2019-03-29,69.16
2019-04-01,69.18
2019-04-02,68.91
2019-04-03,68.58
2019-04-04,69.03
2019-04-05,69.11
2019-04-08,69.56
2019-04-09,69.28
2019-04-10,69.12
2019-04-11,68.97
2019-04-12,69.21
2019-04-15,69.38
2019-04-16,69.51
2019-04-17,69.43
2019-04-18,69.42
2019-04-19,69.37
2019-04-22,69.64
2019-04-23,69.78
2019-04-24,69.91
2019-04-25,70.19
2019-04-26,69.93
2019-04-29,69.8
2019-04-30,69.64
2019-05-01,69.52
2019-05-02,69.4
2019-05-03,69.08
2019-05-06,69.4
2019-05-07,69.62
2019-05-08,69.73
